t_s,pwm_cmd,omega_real_rad_s
9.440000,-0.700000,5.08759928
9.460000,-0.700000,5.08759928
9.480000,-0.700000,4.92861223
9.500000,-0.700000,5.08759928
9.520000,-0.700000,4.92861223
9.540000,-0.700000,5.08759928
9.559999,-0.700000,4.92861223
9.580000,-0.700000,4.92861223
9.599999,-0.700000,5.08759928
9.620000,-0.700000,5.08759928
9.639999,-0.700000,4.92861223
9.660000,-0.700000,5.08759928
9.679999,-0.700000,4.92861223
9.700000,-0.700000,5.08759928
9.719999,-0.700000,4.92861223
9.740000,-0.700000,5.08759928
9.760000,-0.700000,4.92861223
9.780000,-0.700000,5.08759928
9.800000,-0.700000,5.08759928
9.820000,-0.700000,4.92861223
9.840000,-0.700000,5.08759928
9.860000,-0.700000,4.92861223
9.880000,-0.700000,5.08759928
9.900000,-0.700000,4.92861223
9.920000,-0.700000,5.08759928
9.940000,-0.700000,4.92861223
9.960000,-0.700000,5.08759928
9.980000,-0.700000,4.92861223
10.000000,-0.700000,5.08759928
10.020000,-0.700000,5.08759928
10.040000,-0.700000,4.92861223
10.059999,-0.700000,5.08759928
10.080000,-0.700000,4.92861223
10.099999,-0.700000,5.08759928
10.120000,-0.700000,4.92861223
10.139999,-0.700000,5.08759928
10.160000,-0.700000,4.92861223
10.179999,-0.700000,5.08759928
10.200000,-0.700000,4.92861223
10.219999,-0.700000,5.08759928
10.240000,-0.700000,5.08759928
10.260000,-0.700000,4.92861223
10.280000,-0.700000,5.08759928
10.300000,-0.700000,4.92861223
10.320000,-0.700000,5.08759928
10.340000,-0.700000,4.92861223
10.360000,-0.700000,5.08759928
10.380000,-0.700000,4.92861223
10.400000,-0.700000,5.08759928
10.420000,-0.700000,4.92861223
10.440000,-0.700000,5.08759928
10.460000,-0.700000,5.08759928
10.480000,-0.700000,4.92861223
10.500000,-0.700000,5.08759928
10.520000,-0.700000,4.92861223
10.540000,-0.700000,5.08759928
10.559999,-0.700000,4.92861223
10.580000,-0.700000,5.08759928
10.599999,-0.700000,5.08759928
10.620000,-0.700000,4.92861223
10.639999,-0.700000,4.92861223
10.660000,-0.700000,5.08759928
10.679999,-0.700000,5.08759928
10.700000,-0.700000,4.92861223
10.719999,-0.700000,5.08759928
10.740000,-0.700000,4.92861223
10.760000,-0.700000,5.08759928
10.780000,-0.700000,4.92861223
10.800000,-0.700000,5.08759928
10.820000,-0.700000,5.08759928
10.840000,-0.700000,4.92861223
10.860000,-0.700000,5.08759928
10.880000,-0.700000,4.92861223
10.900000,-0.700000,5.08759928
10.920000,-0.700000,4.92861223
10.940000,-0.700000,5.08759928
10.960000,-0.700000,4.92861223
10.980000,-0.700000,5.08759928
11.000000,-0.700000,4.92861223
11.020000,0.000000,5.08759928
11.040000,0.000000,4.61063719
11.059999,0.000000,4.13367462
11.080000,0.000000,3.81569982
11.099999,0.000000,3.33873725
11.120000,0.000000,3.17974973
11.139999,0.000000,2.70278740
11.160000,0.000000,2.22582483
11.179999,0.000000,2.06683731
11.200000,0.000000,1.58987486
11.219999,0.000000,1.27189982
11.240000,0.000000,0.95392495
11.259999,0.000000,0.63594991
11.280000,0.000000,0.47696248
11.300000,0.000000,0.15898748
11.320000,0.000000,0.00000000
11.340000,0.000000,0.00000000
11.360000,0.000000,0.00000000
11.380000,0.000000,0.00000000
11.400000,0.000000,0.00000000
11.420000,0.000000,0.00000000
11.440000,0.000000,0.00000000
11.460000,0.000000,0.00000000
11.480000,0.000000,0.00000000
11.500000,0.000000,0.00000000
