t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
4.540,8.000000,7.790387,7.818917,0.181083,-0.535500,0.790975,-49,-10556
4.560,8.000000,7.790387,7.814638,0.185362,-0.535526,0.790987,-49,-10605
4.580,8.000000,7.949374,7.834848,0.165152,-0.535404,0.790932,-50,-10655
4.600,8.000000,7.790387,7.828179,0.171821,-0.535444,0.790950,-49,-10704
4.620,8.000000,7.790387,7.822510,0.177490,-0.535478,0.790965,-49,-10753
4.640,8.000000,7.790387,7.817691,0.182309,-0.535508,0.790978,-49,-10802
4.660,8.000000,7.949374,7.837443,0.162557,-0.535388,0.790925,-50,-10852
4.680,8.000000,7.790387,7.830385,0.169615,-0.535431,0.790944,-49,-10901
4.700,8.000000,7.790387,7.824385,0.175615,-0.535467,0.790960,-49,-10950
4.720,8.000000,7.949374,7.843133,0.156867,-0.535354,0.790909,-50,-11000
4.740,8.000000,7.790387,7.835221,0.164779,-0.535402,0.790931,-49,-11049
4.760,8.000000,7.790387,7.828496,0.171504,-0.535442,0.790949,-49,-11098
4.780,8.000000,7.790387,7.822779,0.177221,-0.535477,0.790965,-49,-11147
4.800,8.000000,7.790387,7.817920,0.182080,-0.535506,0.790978,-49,-11196
4.820,8.000000,7.949374,7.837638,0.162362,-0.535387,0.790924,-50,-11246
4.840,8.000000,7.790387,7.830550,0.169450,-0.535430,0.790943,-49,-11295
4.860,8.000000,7.790387,7.824525,0.175475,-0.535466,0.790960,-49,-11344
4.880,8.000000,7.790387,7.819405,0.180595,-0.535497,0.790974,-49,-11393
4.900,8.000000,7.949374,7.838900,0.161100,-0.535380,0.790921,-50,-11443
4.920,8.000000,7.790387,7.831623,0.168377,-0.535423,0.790941,-49,-11492
4.940,8.000000,7.790387,7.825437,0.174563,-0.535461,0.790957,-49,-11541
4.960,8.000000,7.790387,7.820179,0.179821,-0.535492,0.790972,-49,-11590
4.980,8.000000,7.790387,7.815711,0.184289,-0.535519,0.790984,-49,-11639
5.000,8.000000,7.790387,7.811912,0.188088,-0.535542,0.790994,-49,-11688
5.020,8.000000,7.949374,7.832531,0.167469,-0.535418,0.790938,-50,-11738
5.040,8.000000,7.790387,7.826209,0.173791,-0.535456,0.790955,-49,-11787
5.060,8.000000,7.790387,7.820836,0.179164,-0.535489,0.790970,-49,-11836
5.080,8.000000,7.790387,7.816268,0.183732,-0.535516,0.790982,-49,-11885
5.100,8.000000,7.790387,7.812386,0.187614,-0.535540,0.790993,-49,-11934
5.120,8.000000,7.790387,7.809085,0.190915,-0.535559,0.791002,-49,-11983
5.140,8.000000,7.949374,7.830129,0.169871,-0.535432,0.790945,-50,-12033
5.160,8.000000,7.790387,7.824167,0.175833,-0.535468,0.790961,-49,-12082
5.180,8.000000,7.790387,7.819100,0.180900,-0.535499,0.790975,-49,-12131
5.200,8.000000,7.790387,7.814793,0.185207,-0.535525,0.790986,-49,-12180
5.220,8.000000,7.790387,7.811131,0.188869,-0.535547,0.790996,-49,-12229
5.240,8.000000,7.949374,7.831868,0.168132,-0.535422,0.790940,-50,-12279
5.260,8.000000,7.790387,7.825646,0.174354,-0.535460,0.790957,-49,-12328
5.280,8.000000,7.790387,7.820357,0.179643,-0.535491,0.790971,-49,-12377
5.300,8.000000,7.790387,7.815861,0.184139,-0.535519,0.790983,-49,-12426
5.320,8.000000,7.790387,7.812040,0.187960,-0.535542,0.790994,-49,-12475
5.340,8.000000,7.790387,7.808792,0.191208,-0.535561,0.791003,-49,-12524
5.360,8.000000,7.949374,7.829879,0.170121,-0.535434,0.790945,-50,-12574
5.380,8.000000,7.790387,7.823955,0.176045,-0.535470,0.790961,-49,-12623
5.400,8.000000,7.790387,7.818919,0.181081,-0.535500,0.790975,-49,-12672
5.420,8.000000,7.790387,7.814639,0.185361,-0.535526,0.790987,-49,-12721
5.440,8.000000,7.790387,7.811001,0.188999,-0.535548,0.790997,-49,-12770
5.460,8.000000,7.790387,7.807909,0.192091,-0.535567,0.791005,-49,-12819
5.480,8.000000,7.949374,7.829128,0.170872,-0.535438,0.790947,-50,-12869
5.500,8.000000,7.790387,7.823317,0.176683,-0.535474,0.790963,-49,-12918
5.520,8.000000,7.790387,7.818377,0.181623,-0.535503,0.790977,-49,-12967
5.540,8.000000,7.790387,7.814178,0.185822,-0.535529,0.790988,-49,-13016
5.560,8.000000,7.949374,7.834457,0.165543,-0.535406,0.790933,-50,-13066
5.580,8.000000,7.790387,7.827847,0.172153,-0.535446,0.790951,-49,-13115
5.600,8.000000,7.790387,7.822227,0.177773,-0.535480,0.790966,-49,-13164
5.620,8.000000,7.790387,7.817451,0.182549,-0.535509,0.790979,-49,-13213
5.640,8.000000,7.790387,7.813391,0.186609,-0.535533,0.790990,-49,-13262
5.660,8.000000,7.790387,7.809940,0.190060,-0.535554,0.790999,-49,-13311
5.680,8.000000,7.949374,7.830855,0.169145,-0.535428,0.790943,-50,-13361
5.700,8.000000,7.790387,7.824785,0.175215,-0.535465,0.790959,-49,-13410
5.720,8.000000,7.790387,7.819625,0.180375,-0.535496,0.790973,-49,-13459
5.740,8.000000,7.790387,7.815239,0.184761,-0.535522,0.790985,-49,-13508
5.760,8.000000,7.790387,7.811511,0.188489,-0.535545,0.790995,-49,-13557
5.780,8.000000,7.949374,7.832191,0.167809,-0.535420,0.790939,-50,-13607
5.800,8.000000,7.790387,7.825920,0.174080,-0.535458,0.790956,-49,-13656
5.820,8.000000,7.790387,7.820590,0.179410,-0.535490,0.790971,-49,-13705
5.840,8.000000,7.790387,7.816059,0.183941,-0.535517,0.790983,-49,-13754
5.860,8.000000,7.790387,7.812208,0.187792,-0.535541,0.790993,-49,-13803
5.880,8.000000,7.790387,7.808935,0.191065,-0.535560,0.791002,-49,-13852
5.900,8.000000,7.790387,7.806152,0.193848,-0.535577,0.791010,-49,-13901
